incident_id,filename,title,date,severity,region,failure_family,primary_service,technology,root_cause,ground_truth_pattern,impact,duration_minutes,symptoms,contributing_factors,preventive_actions
INC-0001,INC-0001_dns-failure-001.md,payout-service elevated checkout latency due to coredns resolver saturation,2025-01-08,SEV3,US,DNS Failures,payout-service,CoreDNS,CoreDNS resolver saturation,dependency discovery failure,elevated checkout latency,57,retry spikes; slow dependency calls; pod restarts; elevated p95 latency; manual mitigation required; increased timeout rate,dependency discovery failure; unclear ownership; synchronized traffic bursts; insufficient backpressure,enforce config validation; document runbook; add synthetic transaction check; add load test scenario
INC-0060,INC-0060_messaging-failure-010.md,settlement-consumer delayed payment status updates due to schema incompatibility in event consumer,2025-07-06,SEV2,Global,Queue / Messaging Failures,settlement-consumer,SQS,schema incompatibility in event consumer,message duplication,delayed payment status updates,77,queue growth; partial customer impact; pod restarts; increased timeout rate; intermittent 5xx errors; inconsistent state observed by customers,message duplication; synchronized traffic bursts; limited runbook coverage; high-cardinality metrics,improve idempotency handling; add SLO alerting; add cache invalidation test; document runbook
INC-0061,INC-0061_deployment-config-001.md,provider-adapter delayed payment status updates due to wrong timeout configuration deployed,2025-07-08,SEV3,APAC,Deployment / Config Drift,provider-adapter,Helm,wrong timeout configuration deployed,partial environment impact,delayed payment status updates,52,started after deployment; retry spikes; one environment affected; pod restarts; connection pool pressure; queue growth,partial environment impact; insufficient load testing; synchronized traffic bursts; lack of bulkhead isolation,enforce config validation; add SLO alerting; add synthetic transaction check; add dependency saturation dashboard
INC-0062,INC-0062_deployment-config-002.md,provider-adapter delayed payouts due to feature flag enabled for wrong tenant group,2025-07-10,SEV2,US-East,Deployment / Config Drift,provider-adapter,Secret,feature flag enabled for wrong tenant group,rollback mitigation,delayed payouts,128,manual mitigation required; elevated p95 latency; partial customer impact; retry spikes; slow dependency calls; CPU saturation,rollback mitigation; lack of bulkhead isolation; missing circuit breaker; manual rollback process,improve idempotency handling; enforce config validation; add bulkhead isolation; add dependency saturation dashboard
INC-0063,INC-0063_deployment-config-003.md,admin-panel partial payment failures due to autoscaling disabled in one namespace,2025-07-13,SEV2,US,Deployment / Config Drift,admin-panel,Feature flags,autoscaling disabled in one namespace,configuration drift,partial payment failures,152,pod restarts; one environment affected; manual mitigation required; partial customer impact; started after deployment; inconsistent state observed by customers,configuration drift; weak alerting; unclear ownership; missing circuit breaker,introduce jittered exponential backoff; improve idempotency handling; add cache invalidation test; add dependency saturation dashboard
INC-0064,INC-0064_deployment-config-004.md,payment-options-api inconsistent payment method availability due to environment variable mismatch,2025-07-18,SEV2,EU-West,Deployment / Config Drift,payment-options-api,CI/CD pipeline,environment variable mismatch,rollback mitigation,inconsistent payment method availability,170,inconsistent state observed by customers; started after deployment; rollback improved health; partial customer impact; retry spikes; CPU saturation,rollback mitigation; missing circuit breaker; limited runbook coverage; insufficient load testing,improve idempotency handling; add SLO alerting; add canary validation; add dependency saturation dashboard
INC-0065,INC-0065_deployment-config-005.md,provider-adapter inconsistent payment method availability due to incompatible config between services,2025-07-21,SEV1,APAC,Deployment / Config Drift,provider-adapter,ConfigMap,incompatible config between services,rollback mitigation,inconsistent payment method availability,95,retry spikes; slow dependency calls; one environment affected; connection pool pressure; pod restarts; CPU saturation,rollback mitigation; synchronized traffic bursts; insufficient load testing; insufficient backpressure,add canary validation; improve idempotency handling; add synthetic transaction check; introduce jittered exponential backoff
INC-0066,INC-0066_deployment-config-006.md,checkout-api delayed payouts due to bad canary rollout,2025-07-24,SEV3,APAC,Deployment / Config Drift,checkout-api,ConfigMap,bad canary rollout,change-induced incident,delayed payouts,43,partial customer impact; elevated p95 latency; queue growth; delayed async processing; CPU saturation; manual mitigation required,change-induced incident; insufficient load testing; synchronized traffic bursts; weak alerting,enforce config validation; add cache invalidation test; add canary validation; add SLO alerting
INC-0067,INC-0067_deployment-config-007.md,merchant-api increased error rate due to secret rotation not applied to all pods,2025-07-26,SEV1,EU,Deployment / Config Drift,merchant-api,CI/CD pipeline,secret rotation not applied to all pods,configuration drift,increased error rate,120,intermittent 5xx errors; partial customer impact; increased timeout rate; slow dependency calls; inconsistent state observed by customers; retry spikes,configuration drift; lack of bulkhead isolation; high-cardinality metrics; manual rollback process,add load test scenario; add bulkhead isolation; enforce config validation; add canary validation
INC-0068,INC-0068_deployment-config-008.md,payment-options-api increased error rate due to rate limit misconfigured,2025-07-29,SEV2,Global,Deployment / Config Drift,payment-options-api,CI/CD pipeline,rate limit misconfigured,change-induced incident,increased error rate,114,slow dependency calls; retry spikes; queue growth; partial customer impact; CPU saturation; started after deployment,change-induced incident; unclear ownership; weak alerting; insufficient load testing,add bulkhead isolation; add cache invalidation test; improve idempotency handling; add SLO alerting
INC-0069,INC-0069_deployment-config-009.md,merchant-api elevated checkout latency due to wrong connection string after deployment,2025-08-02,SEV2,US,Deployment / Config Drift,merchant-api,Feature flags,wrong connection string after deployment,partial environment impact,elevated checkout latency,68,partial customer impact; delayed async processing; CPU saturation; elevated p95 latency; pod restarts; rollback improved health,partial environment impact; unclear ownership; limited runbook coverage; high-cardinality metrics,document runbook; add load test scenario; add synthetic transaction check; add cache invalidation test
INC-0070,INC-0070_deployment-config-010.md,provider-adapter inconsistent payment method availability due to region-specific config drift,2025-08-05,SEV2,APAC,Deployment / Config Drift,provider-adapter,CI/CD pipeline,region-specific config drift,rollback mitigation,inconsistent payment method availability,119,started after deployment; retry spikes; rollback improved health; queue growth; slow dependency calls; one environment affected,rollback mitigation; high-cardinality metrics; insufficient backpressure; limited runbook coverage,add bulkhead isolation; add dependency saturation dashboard; add load test scenario; improve idempotency handling
INC-0071,INC-0071_dependency-timeout-001.md,payment-orchestrator inconsistent payment method availability due to third-party payment gateway latency,2025-08-06,SEV3,US,Dependency Timeouts,payment-orchestrator,Envoy,third-party payment gateway latency,retry amplification,inconsistent payment method availability,133,provider timeout increase; thread pool starvation; partial customer impact; elevated p95 latency; pod restarts; manual mitigation required,retry amplification; manual rollback process; insufficient load testing; lack of bulkhead isolation,add canary validation; document runbook; add SLO alerting; add cache invalidation test
INC-0072,INC-0072_dependency-timeout-002.md,gateway-adapter partial payment failures due to internal rest dependency slow responses,2025-08-10,SEV3,US,Dependency Timeouts,gateway-adapter,third-party provider API,internal REST dependency slow responses,request timeout,partial payment failures,95,intermittent 5xx errors; manual mitigation required; delayed async processing; CPU saturation; provider timeout increase; slow dependency calls,request timeout; insufficient backpressure; missing circuit breaker; synchronized traffic bursts,add bulkhead isolation; improve idempotency handling; add cache invalidation test; enforce config validation
INC-0073,INC-0073_dependency-timeout-003.md,gateway-adapter elevated checkout latency due to tls handshake delays,2025-08-14,SEV2,EU,Dependency Timeouts,gateway-adapter,Envoy,TLS handshake delays,thread starvation,elevated checkout latency,129,provider timeout increase; increased timeout rate; thread pool starvation; CPU saturation; slow dependency calls; connection pool pressure,thread starvation; insufficient backpressure; insufficient load testing; unclear ownership,add SLO alerting; improve idempotency handling; add canary validation; document runbook
INC-0074,INC-0074_dependency-timeout-004.md,checkout-api increased error rate due to provider api rate limiting,2025-08-17,SEV2,EU,Dependency Timeouts,checkout-api,TLS,provider API rate limiting,thread starvation,increased error rate,114,elevated p95 latency; pod restarts; downstream latency spike; CPU saturation; thread pool starvation; inconsistent state observed by customers,thread starvation; manual rollback process; lack of bulkhead isolation; high-cardinality metrics,add canary validation; document runbook; add dependency saturation dashboard; add cache invalidation test
INC-0075,INC-0075_dependency-timeout-005.md,payment-orchestrator elevated checkout latency due to downstream circuit breaker missing,2025-08-19,SEV2,US-East,Dependency Timeouts,payment-orchestrator,HTTP,downstream circuit breaker missing,request timeout,elevated checkout latency,140,partial customer impact; manual mitigation required; retry spikes; increased timeout rate; delayed async processing; CPU saturation,request timeout; insufficient backpressure; high-cardinality metrics; unclear ownership,add canary validation; add load test scenario; add bulkhead isolation; enforce config validation
INC-0076,INC-0076_dependency-timeout-006.md,checkout-api elevated checkout latency due to external fraud api degradation,2025-08-21,SEV1,US-East,Dependency Timeouts,checkout-api,TLS,external fraud API degradation,request timeout,elevated checkout latency,95,inconsistent state observed by customers; intermittent 5xx errors; increased timeout rate; manual mitigation required; partial customer impact; pod restarts,request timeout; manual rollback process; limited runbook coverage; synchronized traffic bursts,add synthetic transaction check; add canary validation; add bulkhead isolation; add load test scenario
INC-0077,INC-0077_dependency-timeout-007.md,gateway-adapter inconsistent payment method availability due to slow identity provider token introspection,2025-08-25,SEV1,EU-West,Dependency Timeouts,gateway-adapter,third-party provider API,slow identity provider token introspection,retry amplification,inconsistent payment method availability,68,inconsistent state observed by customers; increased timeout rate; provider timeout increase; partial customer impact; thread pool starvation; intermittent 5xx errors,retry amplification; high-cardinality metrics; limited runbook coverage; manual rollback process,add synthetic transaction check; add SLO alerting; add canary validation; enforce config validation
INC-0078,INC-0078_dependency-timeout-008.md,fraud-service merchant portal degradation due to object storage latency,2025-08-29,SEV1,US-East,Dependency Timeouts,fraud-service,third-party provider API,object storage latency,slow dependency,merchant portal degradation,115,partial customer impact; elevated p95 latency; retry spikes; slow dependency calls; inconsistent state observed by customers; CPU saturation,slow dependency; insufficient backpressure; weak alerting; missing circuit breaker,enforce config validation; improve idempotency handling; add SLO alerting; introduce jittered exponential backoff
INC-0079,INC-0079_dependency-timeout-009.md,payout-service increased error rate due to service mesh timeout mismatch,2025-08-31,SEV2,EU,Dependency Timeouts,payout-service,TLS,service mesh timeout mismatch,request timeout,increased error rate,57,manual mitigation required; partial customer impact; inconsistent state observed by customers; intermittent 5xx errors; queue growth; increased timeout rate,request timeout; insufficient backpressure; weak alerting; limited runbook coverage,add dependency saturation dashboard; add load test scenario; improve idempotency handling; add synthetic transaction check
INC-0080,INC-0080_dependency-timeout-010.md,payment-orchestrator elevated checkout latency due to payment acquirer partial outage,2025-09-02,SEV2,Global,Dependency Timeouts,payment-orchestrator,OAuth introspection,payment acquirer partial outage,request timeout,elevated checkout latency,53,provider timeout increase; retry spikes; delayed async processing; CPU saturation; increased timeout rate; inconsistent state observed by customers,request timeout; lack of bulkhead isolation; synchronized traffic bursts; missing circuit breaker,add load test scenario; introduce jittered exponential backoff; improve idempotency handling; add canary validation
INC-0081,INC-0081_cascading-failure-001.md,risk-platform elevated checkout latency due to local dependency degradation propagated through fan-out calls,2025-09-06,SEV3,US,Cascading Failures,risk-platform,Redis,local dependency degradation propagated through fan-out calls,failure propagation,elevated checkout latency,148,delayed async processing; CPU saturation; manual mitigation required; connection pool pressure; retry spikes; slow dependency calls,failure propagation; missing circuit breaker; synchronized traffic bursts; high-cardinality metrics,enforce config validation; add cache invalidation test; add dependency saturation dashboard; introduce jittered exponential backoff
INC-0082,INC-0082_cascading-failure-002.md,merchant-platform increased error rate due to queue backlog exhausted downstream consumers,2025-09-10,SEV2,US-East,Cascading Failures,merchant-platform,Kubernetes HPA,queue backlog exhausted downstream consumers,failure propagation,increased error rate,110,partial customer impact; manual mitigation required; retry spikes; pod restarts; connection pool pressure; elevated p95 latency,failure propagation; missing circuit breaker; insufficient load testing; weak alerting,add canary validation; document runbook; add cache invalidation test; add load test scenario
INC-0083,INC-0083_cascading-failure-003.md,checkout-platform delayed payment status updates due to retry storm saturated shared redis,2025-09-12,SEV2,EU-West,Cascading Failures,checkout-platform,SQL Server,retry storm saturated shared Redis,lack of isolation,delayed payment status updates,54,retry spikes; connection pool pressure; inconsistent state observed by customers; traffic shifted to unhealthy path; slow dependency calls; delayed async processing,lack of isolation; weak alerting; synchronized traffic bursts; lack of bulkhead isolation,add dependency saturation dashboard; add SLO alerting; add load test scenario; document runbook
INC-0084,INC-0084_cascading-failure-004.md,risk-platform increased error rate due to shared database pool exhausted across services,2025-09-15,SEV2,US-East,Cascading Failures,risk-platform,RabbitMQ,shared database pool exhausted across services,failure propagation,increased error rate,96,traffic shifted to unhealthy path; queue growth; manual mitigation required; multiple services degraded; inconsistent state observed by customers; pod restarts,failure propagation; high-cardinality metrics; limited runbook coverage; missing circuit breaker,enforce config validation; add synthetic transaction check; improve idempotency handling; document runbook
INC-0085,INC-0085_cascading-failure-005.md,merchant-platform delayed payment status updates due to traffic failover overloaded secondary region,2025-09-17,SEV2,US-East,Cascading Failures,merchant-platform,Envoy,traffic failover overloaded secondary region,lack of isolation,delayed payment status updates,110,delayed async processing; connection pool pressure; shared dependency saturated; increased timeout rate; partial customer impact; queue growth,lack of isolation; limited runbook coverage; missing circuit breaker; high-cardinality metrics,add dependency saturation dashboard; add SLO alerting; add load test scenario; enforce config validation
INC-0086,INC-0086_cascading-failure-006.md,risk-platform inconsistent payment method availability due to partial outage amplified by synchronous dependency chain,2025-09-22,SEV3,US,Cascading Failures,risk-platform,RabbitMQ,partial outage amplified by synchronous dependency chain,lack of isolation,inconsistent payment method availability,105,inconsistent state observed by customers; queue growth; manual mitigation required; retry spikes; CPU saturation; connection pool pressure,lack of isolation; limited runbook coverage; synchronized traffic bursts; high-cardinality metrics,enforce config validation; add bulkhead isolation; add synthetic transaction check; document runbook
INC-0087,INC-0087_cascading-failure-007.md,payments-domain merchant portal degradation due to missing bulkhead isolation,2025-09-25,SEV1,APAC,Cascading Failures,payments-domain,Envoy,missing bulkhead isolation,shared dependency saturation,merchant portal degradation,174,traffic shifted to unhealthy path; intermittent 5xx errors; connection pool pressure; elevated p95 latency; increased timeout rate; pod restarts,shared dependency saturation; weak alerting; high-cardinality metrics; lack of bulkhead isolation,enforce config validation; add SLO alerting; add bulkhead isolation; document runbook
INC-0088,INC-0088_cascading-failure-008.md,merchant-platform merchant portal degradation due to shared thread pool saturation,2025-09-28,SEV1,EU-West,Cascading Failures,merchant-platform,Envoy,shared thread pool saturation,shared dependency saturation,merchant portal degradation,162,queue growth; retry spikes; increased timeout rate; pod restarts; partial customer impact; delayed async processing,shared dependency saturation; insufficient load testing; lack of bulkhead isolation; weak alerting,enforce config validation; add bulkhead isolation; add SLO alerting; improve idempotency handling
INC-0089,INC-0089_cascading-failure-009.md,checkout-platform merchant portal degradation due to central auth dependency degraded all apis,2025-10-01,SEV3,EU-West,Cascading Failures,checkout-platform,Redis,central auth dependency degraded all APIs,shared dependency saturation,merchant portal degradation,60,intermittent 5xx errors; partial customer impact; slow dependency calls; shared dependency saturated; retry spikes; pod restarts,shared dependency saturation; synchronized traffic bursts; high-cardinality metrics; lack of bulkhead isolation,add synthetic transaction check; improve idempotency handling; add load test scenario; add cache invalidation test
INC-0090,INC-0090_cascading-failure-010.md,checkout-platform increased error rate due to search/indexing outage blocked checkout path,2025-10-04,SEV2,Global,Cascading Failures,checkout-platform,SQL Server,search/indexing outage blocked checkout path,shared dependency saturation,increased error rate,100,elevated p95 latency; slow dependency calls; CPU saturation; intermittent 5xx errors; inconsistent state observed by customers; shared dependency saturated,shared dependency saturation; synchronized traffic bursts; unclear ownership; insufficient backpressure,add bulkhead isolation; improve idempotency handling; enforce config validation; introduce jittered exponential backoff
INC-0091,INC-0091_observability-human-001.md,monitoring-stack partial payment failures due to missing alert for queue age,2025-10-06,SEV2,US-East,Observability / Human Failures,monitoring-stack,Grafana,missing alert for queue age,delayed detection,partial payment failures,70,inconsistent state observed by customers; pod restarts; retry spikes; dashboard lacked key metric; delayed async processing; queue growth,delayed detection; manual rollback process; insufficient load testing; limited runbook coverage,document runbook; add bulkhead isolation; add canary validation; add synthetic transaction check
INC-0092,INC-0092_observability-human-002.md,incident-response increased error rate due to dashboard showed averages but hid p95 latency,2025-10-09,SEV3,Global,Observability / Human Failures,incident-response,PagerDuty,dashboard showed averages but hid p95 latency,process gap,increased error rate,109,connection pool pressure; slow dependency calls; CPU saturation; queue growth; manual mitigation required; intermittent 5xx errors,process gap; insufficient load testing; high-cardinality metrics; unclear ownership,add synthetic transaction check; add canary validation; add cache invalidation test; improve idempotency handling
INC-0093,INC-0093_observability-human-003.md,incident-response delayed payouts due to unclear service ownership,2025-10-12,SEV2,EU-West,Observability / Human Failures,incident-response,runbooks,unclear service ownership,process gap,delayed payouts,161,delayed async processing; manual mitigation required; dashboard lacked key metric; retry spikes; intermittent 5xx errors; elevated p95 latency,process gap; high-cardinality metrics; missing circuit breaker; lack of bulkhead isolation,document runbook; add cache invalidation test; add bulkhead isolation; add load test scenario
INC-0094,INC-0094_observability-human-004.md,incident-response delayed payouts due to runbook outdated,2025-10-14,SEV1,EU-West,Observability / Human Failures,incident-response,runbooks,runbook outdated,process gap,delayed payouts,172,increased timeout rate; inconsistent state observed by customers; connection pool pressure; queue growth; dashboard lacked key metric; manual mitigation required,process gap; insufficient backpressure; missing circuit breaker; manual rollback process,add cache invalidation test; introduce jittered exponential backoff; add SLO alerting; improve idempotency handling
INC-0095,INC-0095_observability-human-005.md,sre-tooling inconsistent payment method availability due to logs missing correlation ids,2025-10-18,SEV2,US,Observability / Human Failures,sre-tooling,runbooks,logs missing correlation IDs,long MTTR,inconsistent payment method availability,95,increased timeout rate; dashboard lacked key metric; manual mitigation required; unclear ownership during triage; inconsistent state observed by customers; slow dependency calls,long MTTR; unclear ownership; insufficient load testing; insufficient backpressure,add SLO alerting; enforce config validation; add synthetic transaction check; introduce jittered exponential backoff
INC-0096,INC-0096_observability-human-006.md,monitoring-stack increased error rate due to manual mitigation delayed by approval process,2025-10-21,SEV1,EU-West,Observability / Human Failures,monitoring-stack,OpenTelemetry,manual mitigation delayed by approval process,delayed detection,increased error rate,49,dashboard lacked key metric; inconsistent state observed by customers; connection pool pressure; alert fired late; CPU saturation; retry spikes,delayed detection; insufficient load testing; limited runbook coverage; high-cardinality metrics,introduce jittered exponential backoff; add synthetic transaction check; add load test scenario; add cache invalidation test
INC-0097,INC-0097_observability-human-007.md,platform-observability delayed payouts due to alert routed to wrong team,2025-10-25,SEV3,EU-West,Observability / Human Failures,platform-observability,runbooks,alert routed to wrong team,process gap,delayed payouts,71,manual mitigation required; alert fired late; pod restarts; connection pool pressure; partial customer impact; increased timeout rate,process gap; manual rollback process; missing circuit breaker; weak alerting,document runbook; add SLO alerting; add load test scenario; enforce config validation
INC-0098,INC-0098_observability-human-008.md,payment-options increased error rate due to no synthetic checks for critical flow,2025-10-27,SEV3,APAC,Observability / Human Failures,payment-options,PagerDuty,no synthetic checks for critical flow,process gap,increased error rate,168,delayed async processing; unclear ownership during triage; queue growth; elevated p95 latency; inconsistent state observed by customers; increased timeout rate,process gap; limited runbook coverage; high-cardinality metrics; weak alerting,add dependency saturation dashboard; add load test scenario; add canary validation; document runbook
INC-0099,INC-0099_observability-human-009.md,payment-options increased error rate due to incident commander handoff failed,2025-10-31,SEV1,US-East,Observability / Human Failures,payment-options,Grafana,incident commander handoff failed,long MTTR,increased error rate,117,unclear ownership during triage; manual mitigation required; connection pool pressure; dashboard lacked key metric; inconsistent state observed by customers; queue growth,long MTTR; unclear ownership; missing circuit breaker; limited runbook coverage,improve idempotency handling; add dependency saturation dashboard; add SLO alerting; document runbook
INC-0100,INC-0100_observability-human-010.md,incident-response merchant portal degradation due to metric cardinality change broke dashboard query,2025-11-01,SEV1,EU-West,Observability / Human Failures,incident-response,Loki,metric cardinality change broke dashboard query,poor observability,merchant portal degradation,51,unclear ownership during triage; increased timeout rate; connection pool pressure; CPU saturation; elevated p95 latency; manual mitigation required,poor observability; weak alerting; insufficient load testing; manual rollback process,add bulkhead isolation; add synthetic transaction check; add load test scenario; add SLO alerting
